Product ,Product Synonym,Combination,Route,Dose Form,Dose Qualification,Strength,Unit of Presentation,Immediate Packaging,Pack Size,Outer Packaging,Manufacturer,Brand,UC1,"UC2 
(Product)","UC3 
(Route)","UC4 
(form)","UC5 
(qualification)",UC6 (strength),"UC7 
(unit)",UC8 (immediate),"UC9 
(pack size)",UC10 (outer),UC11 (manufacturer),UC12 (brand),RxNav,WHO EML Product,WHO EML Item,NZULM,NZULM item,UNSPSC,,,,,,,,,,,,,
Docusate Sodium,,,Oral,Solution,,10mg per mL,5mL,,,,,,933f3f00,31f33b4e,5340aa00,cde47400,,3d55b400,3e1b94bf,,,,,,71722,2.3,2.3,10759951000116107,,51171656,,,,,,,,,,,,,
Dolutegravir,,,,,,,,,,,,,933f3f00,94c7fd10,,,,,,,,,,,1433868,6.4.2.4,,44868681000116106,,51343204,,,,,,,,,,,,,
Dolutegravir/Lamivudine/Tenofovir Disoproxil Fumarate,,94c7fd10/493bb97e/dc841f56,Oral,Tablet,,50mg/300mg/300mg,,,,,,,933f3f00,cd15a1dd,39e36100,7b0c1a00,,47d8e43e,,,,,,,,6.4.2.4,6.4.2.4,,,,,,,,,,,,,,,,
Dopamine,,,Parenteral,Solution,,40mg per mL,5mL,,,,,,933f3f00,4089af2c,acc16700,addbdc00,,b36da700,3ec934bf,,,,,,3628,12.4,12.4,10248671000116107,10248691000116106,51392403,,,,,,,,,,,,,
Doxorubicin,,,Parenteral,Powder for reconstitution,,10mg,,,,,,,933f3f00,bd4ddb01,e7b68e00,e0331900,,3ebf54bf,,,,,,,3639,8.2.1,8.2.1,10019291000116102,10251201000116105,51281806,,,,,,,,,,,,,
Doxorubicin,,,Parenteral,Powder for reconstitution,,50mg,,,,,,,933f3f00,bd4ddb01,e7b68e00,e0331900,,3ec444bf,,,,,,,3639,8.2.1,8.2.1,10019291000116102,10251021000116106,51281806,,,,,,,,,,,,,
Doxycycline,,,Oral,Capsule,,100mg,,,,,,,933f3f00,092081c5,6aa97800,1f825b00,,3ea664bf,,,,,,,3640,"6.2.1, 6.5.3.1, 6.5.3.2","6.2.1, 6.5.3.2",10249701000116101,,51284006,,,,,,,,,,,,,
Doxycycline,,,Oral,Capsule,,50mg,,,,,,,933f3f00,092081c5,6aa97800,1f825b00,,3ed804bf,,,,,,,3640,"6.2.1, 6.5.3.1, 6.5.3.2","6.2.1, 6.5.3.1",10249701000116101,,51284006,,,,,,,,,,,,,
Doxycycline,,,Oral,Suspension,,10mg per mL,5mL,,,,,,933f3f00,092081c5,6aa97800,f443b200,,d4b1ce00,3ed304bf,,,,,,3640,"6.2.1, 6.5.3.1, 6.5.3.2",6.2.1,10249701000116101,47058271000116106,51284006,,,,,,,,,,,,,
Doxycycline,,,Oral,Suspension,,5mg per mL,5mL,,,,,,933f3f00,092081c5,6aa97800,f443b200,,d17eb800,3ece24bf,,,,,,3640,"6.2.1, 6.5.3.1, 6.5.3.2",6.2.1,10249701000116101,10251281000116102,51284006,,,,,,,,,,,,,
Doxycycline,,,Oral,Tablet,Dispersible,100mg,,,,,,,933f3f00,092081c5,6aa97800,cc1bad00,b23fbc00,3eba34bf,,,,,,,3640,"6.2.1, 6.5.3.1, 6.5.3.2","6.2.1, 6.5.3.1, 6.5.3.2",10249701000116101,10250171000116104,51284006,,,,,,,,,,,,,
Doxycycline,,,Oral,Tablet,,100mg,,,,,,,933f3f00,092081c5,6aa97800,cc1bad00,,3eb054bf,,,,,,,3640,"6.2.1, 6.5.3.1, 6.5.3.2","6.2.1, 6.5.3.2",10249701000116101,,51284006,,,,,,,,,,,,,
Efavirenz,"EFV, EFZ",,Oral,Capsule,,100mg,,,,,,,933f3f00,4e04534a,66cf8f00,042c1600,,3f53c4bf,,,,,,,195085,6.4.2.2,,10662591000116102,10662781000116109,51341903,,,,,,,,,,,,,
Efavirenz,"EFV, EFZ",,Oral,Capsule,,200mg,,,,,,,933f3f00,4e04534a,66cf8f00,042c1600,,3f5764bf,,,,,,,195085,6.4.2.2,,10662591000116102,10662611000116108,51341903,,,,,,,,,,,,,
Efavirenz,"EFV, EFZ",,Oral,Capsule,,50mg,,,,,,,933f3f00,4e04534a,66cf8f00,042c1600,,3f2ad4bf,,,,,,,195085,6.4.2.2,,10662591000116102,10662701000116101,51341903,,,,,,,,,,,,,
Efavirenz,"EFV, EFZ",,Oral,Tablet,,200mg,,,,,,,933f3f00,4e04534a,66cf8f00,2af28100,,3f5ad4bf,,,,,,,195085,6.4.2.2,6.4.2.2,10662591000116102,10663061000116107,51341903,,,,,,,,,,,,,
Efavirenz,"EFV, EFZ",,Oral,Tablet,,600mg,,,,,,,933f3f00,4e04534a,66cf8f00,2af28100,,3f4ed4bf,,,,,,,195085,6.4.2.2,6.4.2.2,10662591000116102,10662901000116104,51341903,,,,,,,,,,,,,
Efavirenz/Emtricitabine/Tefonovir Disoproxil Fumarate,,4e04534a/14264mmh/dc841f56,Oral,Tablet,,600mg/200mg/300mg,,,,,,,933f3f00,ed88fb82,2a0b4000,67f3ba00,,3f5e44bf,,,,,,,1007761,6.4.2.4,6.4.2.4,46156621000116101,43750931000116109,51343803,,,,,,,,,,,,,
Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,,4e04534a/493bb97e/dc841f56,Oral,Tablet,,600mg/300mg/300mg,,,,,,,933f3f00,28784a46,58b8a000,e3f4e300,,b3044cdc,,,,,,,1008789,6.4.2.4,6.4.2.4,,,,,,,,,,,,,,,,
Efavirenz/Lamivudine/Zidovudine,,4e04534a/493bb97e/02ac6c47,Oral,Tablet,,600mg/150mg/300mg,,,,,,,933f3f00,1f19f881,9a611300,84878a00,,9ed445dd,,,,,,,,,,,,,,,,,,,,,,,,,
Eflornithine,,,Parenteral,Solution,,200mcg per mL,100mL,,,,,,933f3f00,636d7bd8,1b2b9500,4e2bfb00,,d0029b00,3f2464bf,,,,,,569,6.5.5.1,6.5.5.1,44065681000116103,,51101602,,,,,,,,,,,,,
Emtricitabine,,,,,,,,,,,,,933f3f00,14264mmh,,,,,,,,,,,276237,,,10225241000116107,,51343105,,,,,,,,,,,,,
Emtricitabine/Tefonovir Disoproxil Fumarate,,14264mmh/dc841f56,Oral,Tablet,,200mg/300mg,,,,,,,933f3f00,22376459,a49eb700,d95e9e00,,3fb0e4bf,,,,,,,1008145,6.4.2.4,6.4.2.4,46156711000116101,"43751371000116101, 46126181000116106",51343804,,,,,,,,,,,,,
Enalapril,,,Oral,Tablet,,2.5mg,,,,,,,933f3f00,ac07394b,7f7ae900,e588ab00,,3fd444bf,,,,,,,3827,"12.3, 12.4","12.3, 12.4",10226611000116103,,51432803,,,,,,,,,,,,,
Enalapril,,,Oral,Tablet,,5mg,,,,,,,933f3f00,ac07394b,7f7ae900,e588ab00,,3fd864bf,,,,,,,3827,"12.3, 12.4","12.3, 12.4",10226611000116103,10226631000116109,51432803,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,0.2mL,Ampoule,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,3c6c5100,1a9ded00,4099f4bf,,,,,67108,10.2,10.2,10162291000116103,10162801000116109,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,0.2mL,Pre-filled syringe,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,3c6c5100,1a9ded00,409d74bf,,,,,67108,10.2,10.2,10162291000116103,,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,0.4mL,Ampoule,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,e0ddd000,9fb8fc00,40a0c4bf,,,,,67108,10.2,10.2,10162291000116103,10163121000116101,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,0.4mL,Pre-filled syringe,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,e0ddd000,9fb8fc00,40a434bf,,,,,67108,10.2,10.2,10162291000116103,10162961000116104,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,0.6mL,Ampoule,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,9c455300,1363cf00,40a774bf,,,,,67108,10.2,10.2,10162291000116103,10162681000116102,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,0.6mL,Pre-filled syringe,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,9c455300,1363cf00,40aaa4bf,,,,,67108,10.2,10.2,10162291000116103,,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,0.8mL,Ampoule,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,5fdaca00,9f6f5600,40c374bf,,,,,67108,10.2,10.2,10162291000116103,10163041000116105,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,0.8mL,Pre-filled syringe,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,5fdaca00,9f6f5600,40c714bf,,,,,67108,10.2,10.2,10162291000116103,,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,1mL,Ampoule,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,c5554c00,f1688000,406044bf,,,,,67108,10.2,10.2,10162291000116103,10162601000116105,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,100mg per mL,1mL,Pre-filled syringe,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,c5554c00,f1688000,406404bf,,,,,67108,10.2,10.2,10162291000116103,,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,150mg per mL,0.8mL,Ampoule,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,37cedf00,7628c100,406744bf,,,,,67108,10.2,10.2,10162291000116103,10162481000116104,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,150mg per mL,0.8mL,Pre-filled syringe,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,37cedf00,7628c100,406ff4bf,,,,,67108,10.2,10.2,10162291000116103,,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,150mg per mL,1mL,Ampoule,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,726e2600,4c3afa00,407374bf,,,,,67108,10.2,10.2,10162291000116103,10162881000116101,51131607,,,,,,,,,,,,,
Enoxaparin,,,Parenteral,Solution,,150mg per mL,1mL,Pre-filled syringe,,,,,933f3f00,f2dbaa1a,5f70c200,33c2f200,,726e2600,4c3afa00,409604bf,,,,,67108,10.2,10.2,10162291000116103,,51131607,,,,,,,,,,,,,
Entecavir,,,Oral,Solution,,0.05mg per mL,210mL,,,,,,933f3f00,984de62d,63b66500,dc4f9400,,9b55d500,3fdc04bf,,,,,,306266,6.4.4.1.1,6.4.4.1.1,26643461000116103,,51342304,,,,,,,,,,,,,
Entecavir,,,Oral,Tablet,,0.5mg ,,,,,,,933f3f00,984de62d,63b66500,ee7aae00,,3fdf54bf,,,,,,,306266,6.4.4.1.1,6.4.4.1.1,26643461000116103,10088561000116102,51342304,,,,,,,,,,,,,
Entecavir,,,Oral,Tablet,,1mg,,,,,,,933f3f00,984de62d,63b66500,ee7aae00,,3fe2b4bf,,,,,,,306266,6.4.4.1.1,6.4.4.1.1,26643461000116103,10088461000116101,51342304,,,,,,,,,,,,,
Ephedrine,,,Parenteral,Solution,,30mg per mL,1mL,,,,,,933f3f00,87dbeb67,8466b900,21b7b900,,3f314400,3fe614bf,,,,,,3966,1.2,1.2,"10760621000116107, 10760611000116103","29440691000116105, 10262081000116108",51391717,,,,,,,,,,,,,
Epinephrine,Adrenaline,,Eye,Drop,,2%,,,,,,,933f3f00,db72458a,de52fb00,2dbedc00,,3fe954bf,,,,,,,3992,"3, 12.2, 21.5, 25.1",21.5,10018801000116100,,51391743,,,,,,,,,,,,,
Epinephrine,Adrenaline,,Parenteral,Solution,,1mg per mL [1:1000],1mL,,,,,,933f3f00,db72458a,548e9800,009b9800,,501af700,3feca4bf,,,,,,3992,"3, 12.2, 21.5, 25.1","3, 25.1",10018801000116100,10077261000116108,51391743,,,,,,,,,,,,,
Epinephrine/Lidocaine,,,Parenteral,Solution,,1:100000/1%,5mL,,,,,,933f3f00,602f3100,091f3300,58cd2a00,,7f028600,3cefe700,,,,,,107602,1.2,,10491321000116103,20020011000116102,51273937,,,,,,,,,,,,,
Epinephrine/Lidocaine,,,Parenteral,Solution,,1:200000/0.5%,20mL,,,,,,933f3f00,602f3100,091f3300,58cd2a00,,8ea23aa6,4725b4bf,,,,,,107602,1.2,1.2,10491321000116103,,51273937,,,,,,,,,,,,,
Epinephrine/Lidocaine,,,Parenteral,Solution,,1:200000/1.5%,20mL,,,,,,933f3f00,602f3100,091f3300,58cd2a00,,0adef822,472934bf,,,,,,107602,1.2,1.2,10491321000116103,,51273937,,,,,,,,,,,,,
Epinephrine/Lidocaine,,,Parenteral,Solution,,1:200000/1%,20mL,,,,,,933f3f00,602f3100,091f3300,58cd2a00,,4d168a61,474564bf,,,,,,107602,1.2,1.2,10491321000116103,20020031000116108,51273937,,,,,,,,,,,,,
Epinephrine/Lidocaine,,,Parenteral,Solution,,1:200000/2%,20mL,,,,,,933f3f00,602f3100,091f3300,58cd2a00,,0eabf46a,474e34bf,,,,,,107602,1.2,1.2,10491321000116103,10750741000116103,51273937,,,,,,,,,,,,,
Epinephrine/Lidocaine,,,Parenteral,Solution,,1:80000/2%,1.8mL,,,,,,933f3f00,602f3100,091f3300,58cd2a00,,775353e6,ba5f4500,,,,,,107602,1.2,1.2,10491321000116103,10750601000116106,51273937,,,,,,,,,,,,,
Epinephrine/Lidocaine,,,Parenteral,Solution,,1:80000/2%,2.2mL,,,,,,933f3f00,602f3100,091f3300,58cd2a00,,775353e6,13d4f400,,,,,,107602,1.2,1.2,10491321000116103,10747471000116103,51273937,,,,,,,,,,,,,
Epinephrine/Lidocaine,,,Parenteral,Solution,,1:80000/2%,5mL,,,,,,933f3f00,602f3100,091f3300,58cd2a00,,775353e6,4741a4bf,,,,,,107602,1.2,1.2,10491321000116103,45975981000116104,51273937,,,,,,,,,,,,,
Ergocalciferol,,,Oral,Capsule,,1.25mg [50000IU],,,,,,,933f3f00,27a7b426,58d22f00,be0a2100,,390dc4bf,,,,,,,4018,27,27,,,50501516,,,,,,,,,,,,,
Ergocalciferol,,,Oral,Solution,,250mcg [10000IU] per mL,60mL,,,,,,933f3f00,27a7b426,58d22f00,00a43600,,17e9de00,38f414bf,,,,,,4018,27,27,,,50501516,,,,,,,,,,,,,
Ergometrine,Ergonovine,,Parenteral,Solution,,200mcg per mL,1mL,,,,,,933f3f00,caa586d2,d7446000,ab5fae00,,00d92900,3f6264bf,,,,,,4021,22.3,22.3,10267321000116107,,51182204,,,,,,,,,,,,,
Erythromycin,,,Oral,Capsule,,250mg,,,,,,,933f3f00,25c2a9b7,67a53500,cfc32400,,3fa194bf,,,,,,,4053,21.1,,10226211000116100,10266431000116102,51282300,,,,,,,,,,,,,
Erythromycin,,,Oral,Powder for reconstitution,,25mg per mL,100mL,,,,,,933f3f00,25c2a9b7,67a53500,bde55700,,3f9194bf,f4f74800,,,,,,4053,21.1,,10226211000116100,,51282300,,,,,,,,,,,,,
Erythromycin,,,Oral,Powder for reconstitution,,25mg per mL,140mL,,,,,,933f3f00,25c2a9b7,67a53500,bde55700,,3f9194bf,bbd8eb00,,,,,,4053,21.1,,10226211000116100,,51282300,,,,,,,,,,,,,
Erythromycin,,,Oral,Powder for reconstitution,,25mg per mL,60mL,,,,,,933f3f00,25c2a9b7,67a53500,bde55700,,3f9194bf,6d800200,,,,,,4053,21.1,,10226211000116100,,51282300,,,,,,,,,,,,,
Erythromycin,,,Parenteral,Powder for reconstitution,,500mg,,,,,,,933f3f00,25c2a9b7,4751a300,b3f5da00,,3fa4d4bf,,,,,,,4053,21.1,,10226211000116100,,51282300,,,,,,,,,,,,,
Estradiol Cypionate,,,,,,,,,,,,,933f3f00,3ah96800,,,,,,,,,,,1000146,,,10163311000116107,,51351622,,,,,,,,,,,,,
Estradiol Cypionate/Medroxyprogesterone Acetate,,3ah96800/0f4b1c0d,Parenteral,Suspension,,10mg/50mg per mL,0.5mL,,,,,,933f3f00,3c08015d,700abe00,694c9400,,75a6bd00,401b34bf,,,,,,636632,22.1.2,22.1.2,10163311000116107,,,,,,,,,,,,,,,
Ethambutol,,,Oral,Suspension,,25mg per mL,,,,,,,933f3f00,64ecb198,13f68900,691f2800,,402cb4bf,,,,,,,4110,6.2.5,6.2.5,10055091000116103,,51281501,,,,,,,,,,,,,
Ethambutol,,,Oral,Tablet,,100mg,,,,,,,933f3f00,64ecb198,13f68900,56e14b00,,403004bf,,,,,,,4110,6.2.5,6.2.5,10055091000116103,10269961000116106,51281501,,,,,,,,,,,,,
Ethambutol,,,Oral,Tablet,,200mg,,,,,,,933f3f00,64ecb198,13f68900,56e14b00,,403354bf,,,,,,,4110,6.2.5,6.2.5,10055091000116103,,51281501,,,,,,,,,,,,,
Ethambutol,,,Oral,Tablet,,400mg,,,,,,,933f3f00,64ecb198,13f68900,56e14b00,,403694bf,,,,,,,4110,6.2.5,6.2.5,10055091000116103,10055111000116106,51281501,,,,,,,,,,,,,
Ethambutol/Isoniazid,,64ecb198/0869a14e,Oral,Tablet,,400mg/150mg,,,,,,,933f3f00,47be8d1d,b5e6e200,4ff21d00,,649a94bf,,,,,,,821005,,,10055091000116103,,,,,,,,,,,,,,,
Ethambutol/Isoniazid/Pyrazinamide/Rifampicin,,64ecb198/0869a14e/7b75ca3c/71e4d8ea,Oral,Tablet,,275mg/75mg/400mg/150mg,,,,,,,933f3f00,e806199e,cc7c6c00,26d97f00,,3f6604bf,,,,,,,,6.2.5,6.2.5,10055091000116103,,,,,,,,,,,,,,,
Ethambutol/Isoniazid/Rifampicin,,64ecb198/0869a14e/71e4d8ea,Oral,Tablet,,275mg/75mg/150mg,,,,,,,933f3f00,165c0c6a,97ce4600,f4cbf100,,3f6ad4bf,,,,,,,814321,6.2.5,6.2.5,10055091000116103,,,,,,,,,,,,,,,
Ethyl Alcohol,Ethanol,,Topical,Solution,,70%,500mL,,,,,,933f3f00,0212940e,492f2e00,e6493900,,84e1cbe4,401f34bf,,,,,,448,15.1,15.1,10026011000116100,10192041000116101,15101802,,,,,,,,,,,,,
Ethyl Alcohol,Ethanol,,Topical,Solution,,80%,300mL,,,,,,933f3f00,0212940e,492f2e00,e6493900,,c3cd34b8,b8f195da,,,,,,448,15.1,,10026011000116100,,15101802,,,,,,,,,,,,,
Ethinylestradiol,Ethinyl Estradiol,,,,,,,,,,,,933f3f00,906aj900,,,,,,,,,,,4124,,,10277651000116103,,51352012,,,,,,,,,,,,,
Ethinylestradiol/Levonorgestrel,Ethinyl Estradiol/Levonorgestrel,906aj900/2a2ca230,Oral,Tablet,,30mcg/150mcg,,,,,,,933f3f00,64c43458,3e3ef000,f0a1f300,,402924bf,,,,,,,214558,22.1.1,22.1.1,10399161000116101,20013901000116104,51352413,,,,,,,,,,,,,
Ethinylestradiol/Norethisterone,Ethinyl Estradiol/norethindrone,906aj900/422942rn,Oral,Tablet,,35mcg/1mg,,,,,,,933f3f00,72ddeae6,1d44ea00,fbf80500,,404fb4bf,,,,,,,352377,22.1.1,22.1.1,10102641000116107,10102671000116103,51352415,,,,,,,,,,,,,
Ethionamide,,,Oral,Tablet,,125mg,,,,,,,933f3f00,2b9aee30,a20ab400,994ea700,,3fa804bf,,,,,,,4127,6.2.5,6.2.5,10715311000116100,,51281507,,,,,,,,,,,,,
Ethionamide,,,Oral,Tablet,,250mg,,,,,,,933f3f00,2b9aee30,a20ab400,994ea700,,3fada4bf,,,,,,,4127,6.2.5,6.2.5,10715311000116100,10715331000116106,51281507,,,,,,,,,,,,,
Ethosuximide,,,Oral,Capsule,,250mg,,,,,,,933f3f00,cc0368ea,e70ece00,932a5900,,402284bf,,,,,,,4135,5,5,10737631000116102,10737651000116107,51141508,,,,,,,,,,,,,
Ethosuximide,,,Oral,Solution,,50mg per mL,200mL,,,,,,933f3f00,cc0368ea,e70ece00,3ec3b800,,75de8c00,4025e4bf,,,,,,4135,5,5,10737631000116102,10737741000116103,51141508,,,,,,,,,,,,,
Etonogestrel,,,Subdermal,Implant,,68mg,,,,,,,933f3f00,4903422b,3ee4cf00,dc339b00,,3ff944bf,,,,,,,14584,22.1.5,22.1.5,20043871000116107,20043881000116109,51352005,,,,,,,,,,,,,
Etoposide,,,Oral,Capsule,,100mg,,,,,,,933f3f00,8d1a2536,7056ed00,c28dfc00,,405c74bf,,,,,,,4179,8.2.1,8.2.1,10278701000116105,10698331000116108,51111739,,,,,,,,,,,,,
Etoposide,,,Parenteral,Solution,,20mg per mL,5mL,,,,,,933f3f00,8d1a2536,132ff200,a0b76500,,db331f00,4053a4bf,,,,,,4179,8.2.1,8.2.1,10278701000116105,"43952161000116108, 10278861000116102",51111739,,,,,,,,,,,,,
Examination Glove,,,,,,Extra Large,,,,,,,77fcbb00,ffd9a200,,,,c80865da,,,,,,,,,,,,,,,,,,,,,,,,,
Examination Glove,,,,,,Large,,,,,,,77fcbb00,ffd9a200,,,,a73555da,,,,,,,,,,,,,,,,,,,,,,,,,
Examination Glove,,,,,,Medium,,,,,,,77fcbb00,ffd9a200,,,,8d3625da,,,,,,,,,,,,,,,,,,,,,,,,,
Examination Glove,,,,,,Small,,,,,,,77fcbb00,ffd9a200,,,,ad5f65da,,,,,,,,,,,,,,,,,,,,,,,,,
Ferrous Salt,Iron Salt,,Oral,Tablet,,60mg iron,,,,,,,933f3f00,4a4f5f4d,09b5cc00,8cad5f00,,41e9d4bf,,,,,,,90176,10.1,10.1,,,,,,,,,,,,,,,,
Ferrous Salt/Folic Acid ,Iron Salt/Folic Acid,,Oral,Tablet,,60mg iron/400mcg,,,,,,,933f3f00,6a0d35cd,0dd2a600,9c3ed100,,41f354bf,,,,,,,,10.1,10.1,,,51192445,,,,,,,,,,,,,
Ferrous Sulphate,,,Oral,Solution,,125mg [25mg iron] per mL,100mL,,,,,,933f3f00,41c664bf,2b665000,7eabd300,,72a74a00,fd50e500,,,,,,24947,,,20034611000116104,,51191917,,,,,,,,,,,,,
Ferrous Sulphate,,,Oral,Solution,,125mg [25mg iron] per mL,30mL,,,,,,933f3f00,41c664bf,2b665000,7eabd300,,72a74a00,c06e8700,,,,,,24947,,,20034611000116104,,51191917,,,,,,,,,,,,,
Filgrastim,,,Parenteral,Solution,,300mcg per mL,1.6mL,Vial,,,,,933f3f00,97dbcd9a,46b00400,b4f29100,,62fd9300,94c7fa00,414124bf,,,,,68442,8.2.3,8.2.3,10479591000116102,,51201802,,,,,,,,,,,,,
Filgrastim,,,Parenteral,Solution,,300mcg per mL,1mL,Vial,,,,,933f3f00,97dbcd9a,46b00400,b4f29100,,62fd9300,86cd8000,411484bf,,,,,68442,8.2.3,8.2.3,10479591000116102,10479611000116108,51201802,,,,,,,,,,,,,
Filgrastim,,,Parenteral,Solution,,600mcg per mL,0.2mL,Pre-filled syringe,,,,,933f3f00,97dbcd9a,46b00400,b4f29100,,604b1000,52d47d00,410e64bf,,,,,68442,8.2.3,8.2.3,10479591000116102,31072541000116101,51201802,,,,,,,,,,,,,
Filgrastim,,,Parenteral,Solution,,600mcg per mL,0.5mL,Pre-filled syringe,,,,,933f3f00,97dbcd9a,46b00400,b4f29100,,604b1000,60ec5600,412f14bf,,,,,68442,8.2.3,8.2.3,10479591000116102,20020351000116100,51201802,,,,,,,,,,,,,
Filgrastim,,,Parenteral,Solution,,600mcg per mL,0.8mL,Pre-filled syringe,,,,,933f3f00,97dbcd9a,46b00400,b4f29100,,604b1000,65b1c100,413bb4bf,,,,,68442,8.2.3,8.2.3,10479591000116102,46133211000116102,51201802,,,,,,,,,,,,,
Fluconazole,,,Oral,Capsule,,50mg,,,,,,,933f3f00,051cd6f6,e53bf700,1c86de00,,40d364bf,,,,,,,4450,6.3,6.3,10144461000116105,10243021000116108,51303402,,,,,,,,,,,,,
Fluconazole,,,Oral,Powder for reconstitution,,10mg per mL,5mL,,,,,,933f3f00,051cd6f6,e53bf700,a7022900,,3cb20a00,40d6e4bf,,,,,,4450,6.3,6.3,10144461000116105,10243431000116102,51303402,,,,,,,,,,,,,
Fluconazole,,,Parenteral,Solution,,2mg per mL,25mL,,,,,,933f3f00,051cd6f6,35aed500,3a30a500,,11e0d400,40cfb4bf,,,,,,4450,6.3,6.3,10144461000116105,44120351000116105,51303402,,,,,,,,,,,,,
Flucytosine,,,Oral,Capsule,,250mg,,,,,,,933f3f00,578553c4,3b49eb00,f32d0200,,410744bf,,,,,,,4451,6.3,6.3,10025671000116105,,51303001,,,,,,,,,,,,,
Flucytosine,,,Parenteral,Solution,,10mg per mL,250mL,,,,,,933f3f00,578553c4,e67c4800,d22fca00,,ca4c4700,4103d4bf,,,,,,4451,6.3,6.3,10025671000116105,10025691000116109,51303001,,,,,,,,,,,,,
Fludarabine,,,Oral,Tablet,,10mg,,,,,,,933f3f00,3ae8e895,7df41f00,c4fe6600,,417484bf,,,,,,,24698,8.2.1,8.2.1,20001411000116108,10328031000116108,51442001,,,,,,,,,,,,,
Fludarabine,,,Parenteral,Powder for reconstitution,,50mg,,,,,,,933f3f00,3ae8e895,d89fbd00,70f38c00,,417964bf,,,,,,,24698,8.2.1,8.2.1,20001411000116108,20007201000116101,51442001,,,,,,,,,,,,,
Fludrocortisone,,,Oral,Tablet,,100mcg,,,,,,,933f3f00,0d4483d5,d5bb9100,61f01000,,410aa4bf,,,,,,,4452,18.1,18.1,10325431000116107,10325451000116102,51422410,,,,,,,,,,,,,
Fluorescein,Fluorescien Sodium,,Eye,Drop,,1%,0.5mL,,,,,,933f3f00,4b55a992,320e9300,537f0a00,,416ed4bf,d295ee00,,,,,,25138,14.1,14.1,10760741000116108,10467741000116104,51441603,,,,,,,,,,,,,
Fluorouracil,,,Parenteral,Solution,,50mg per mL,5mL,,,,,,933f3f00,b0a6e28f,69c9a500,5514f900,,6b83d800,40ffe4bf,,,,,,4492,"8.2.1, 13.4",8.2.1,10019401000116106,43930761000116109,51442004,,,,,,,,,,,,,
Fluorouracil,,,Topical,Cream,,5%,20g,,,,,,933f3f00,b0a6e28f,2715d400,9ead4700,,40de04bf,e2715600,,,,,,4492,"8.2.1, 13.4",13.4,10019401000116106,10220081000116102,51442004,,,,,,,,,,,,,
Fluoxetine,,,Oral,Tablet,,20mg,,,,,,,933f3f00,1b8282d4,1972ee00,347df900,,418414bf,,,,,,,4493,"2.3, 24.2.1","2.3, 24.2.1",10290611000116106,10290631000116100,51292011,,,,,,,,,,,,,
Fluphenazine decanoate,,,Parenteral,Solution,,25mg per mL,1mL,,,,,,933f3f00,b966c248,b148d800,fe733b00,,7d938d00,414624bf,,,,,,25190,24.1,24.1,10045341000116106,10290841000116106,51332848,,,,,,,,,,,,,
Fluphenazine enanthate,,,Parenteral,Solution,,25mg per mL,1mL,,,,,,933f3f00,3b211a2b,81243b00,b2f11200,,d5581c00,414ae4bf,,,,,,30129,24.1,24.1,10045341000116106,,51332851,,,,,,,,,,,,,
Folic acid,,,Oral,Tablet,,1mg,,,,,,,933f3f00,25d50e09,2ede1200,fdcc8d00,,418984bf,,,,,,,4511,10.1,10.1,10055471000116109,,51191918,,,,,,,,,,,,,
Folic acid,,,Oral,Tablet,,400mcg,,,,,,,933f3f00,25d50e09,2ede1200,fdcc8d00,,41b264bf,,,,,,,4511,10.1,10.1,10055471000116109,,51191918,,,,,,,,,,,,,
Folic acid,,,Oral,Tablet,,5mg,,,,,,,933f3f00,25d50e09,2ede1200,fdcc8d00,,41ace4bf,,,,,,,4511,10.1,10.1,10055471000116109,,51191918,,,,,,,,,,,,,
